model_id,model,publisher,family_id,repository_revision,kind,architecture,parameters_b_state,parameters_b,parameter_scope_note,active_b_state,active_b,context_state,context_tokens,context_note,persian_evidence,license,commercial_use_state,commercial_use,applications,evidence_ids
model:deepseek-ai-deepseek-r1-distill-qwen-1-5b,DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek,family:deepseek,ad9f0ae0864d7fbcd1cd905e3c6c5b069cc8b562,generative,dense,known,1.5,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,unknown,,برای این گونه، سقف زمینهٔ اعلام‌شده با دامنهٔ روشن در این بسته تأیید نشده؛ مقدار max_position_embeddings فقط در دادهٔ پژوهشی نگه داشته شده است.,not-evaluated,MIT,known,allowed,text-work;coding-assistant;reasoning-analysis,evidence:deepseek-ai-deepseek-r1-distill-qwen-1-5b-card;evidence:deepseek-ai-deepseek-r1-distill-qwen-1-5b-metadata;evidence:deepseek-ai-deepseek-r1-distill-qwen-1-5b-parameters;evidence:deepseek-ai-deepseek-r1-distill-qwen-1-5b-license;evidence:deepseek-ai-deepseek-r1-distill-qwen-1-5b-config
model:deepseek-ai-deepseek-r1-distill-qwen-14b,DeepSeek-R1-Distill-Qwen-14B,DeepSeek,family:deepseek,1df8507178afcc1bef68cd8c393f61a886323761,generative,dense,known,14.0,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,unknown,,برای این گونه، سقف زمینهٔ اعلام‌شده با دامنهٔ روشن در این بسته تأیید نشده؛ مقدار max_position_embeddings فقط در دادهٔ پژوهشی نگه داشته شده است.,not-evaluated,MIT,known,allowed,text-work;coding-assistant;reasoning-analysis,evidence:deepseek-ai-deepseek-r1-distill-qwen-14b-card;evidence:deepseek-ai-deepseek-r1-distill-qwen-14b-metadata;evidence:deepseek-ai-deepseek-r1-distill-qwen-14b-parameters;evidence:deepseek-ai-deepseek-r1-distill-qwen-14b-license;evidence:deepseek-ai-deepseek-r1-distill-qwen-14b-config
model:deepseek-ai-deepseek-r1-distill-qwen-32b,DeepSeek-R1-Distill-Qwen-32B,DeepSeek,family:deepseek,711ad2ea6aa40cfca18895e8aca02ab92df1a746,generative,dense,known,32.0,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,unknown,,برای این گونه، سقف زمینهٔ اعلام‌شده با دامنهٔ روشن در این بسته تأیید نشده؛ مقدار max_position_embeddings فقط در دادهٔ پژوهشی نگه داشته شده است.,not-evaluated,MIT,known,allowed,text-work;coding-assistant;reasoning-analysis,evidence:deepseek-ai-deepseek-r1-distill-qwen-32b-card;evidence:deepseek-ai-deepseek-r1-distill-qwen-32b-metadata;evidence:deepseek-ai-deepseek-r1-distill-qwen-32b-parameters;evidence:deepseek-ai-deepseek-r1-distill-qwen-32b-license;evidence:deepseek-ai-deepseek-r1-distill-qwen-32b-config
model:deepseek-ai-deepseek-r1-distill-qwen-7b,DeepSeek-R1-Distill-Qwen-7B,DeepSeek,family:deepseek,916b56a44061fd5cd7d6a8fb632557ed4f724f60,generative,dense,known,7.0,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,unknown,,برای این گونه، سقف زمینهٔ اعلام‌شده با دامنهٔ روشن در این بسته تأیید نشده؛ مقدار max_position_embeddings فقط در دادهٔ پژوهشی نگه داشته شده است.,not-evaluated,MIT,known,allowed,text-work;coding-assistant;reasoning-analysis,evidence:deepseek-ai-deepseek-r1-distill-qwen-7b-card;evidence:deepseek-ai-deepseek-r1-distill-qwen-7b-metadata;evidence:deepseek-ai-deepseek-r1-distill-qwen-7b-parameters;evidence:deepseek-ai-deepseek-r1-distill-qwen-7b-license;evidence:deepseek-ai-deepseek-r1-distill-qwen-7b-config
model:deepseek-ai-deepseek-v3-2,DeepSeek-V3.2,DeepSeek,family:deepseek,a7e62ac04ecb2c0a54d736dc46601c5606cf10a6,generative,moe,unknown,,شمار کل با دامنهٔ یکنواخت تأیید نشده؛ شمار جزء زبانی، فعال یا ذخیره‌شده جای آن ننشسته است.,unknown,,unknown,,برای این گونه، سقف زمینهٔ اعلام‌شده با دامنهٔ روشن در این بسته تأیید نشده؛ مقدار max_position_embeddings فقط در دادهٔ پژوهشی نگه داشته شده است.,not-evaluated,MIT,known,allowed,text-work;coding-assistant;reasoning-analysis,evidence:deepseek-ai-deepseek-v3-2-card;evidence:deepseek-ai-deepseek-v3-2-metadata;evidence:deepseek-ai-deepseek-v3-2-parameters;evidence:deepseek-ai-deepseek-v3-2-license;evidence:deepseek-ai-deepseek-v3-2-config
model:deepseek-ai-deepseek-v4-1-flash,DeepSeek-V4.1-Flash,DeepSeek,family:deepseek,dba1be0a40aa45a94ad051997016db3960a90277,vision-language,hybrid,unknown,,شمار کل با دامنهٔ یکنواخت تأیید نشده؛ شمار جزء زبانی، فعال یا ذخیره‌شده جای آن ننشسته است.,unknown,,unknown,,برای این گونه، سقف زمینهٔ اعلام‌شده با دامنهٔ روشن در این بسته تأیید نشده؛ مقدار max_position_embeddings فقط در دادهٔ پژوهشی نگه داشته شده است.,not-evaluated,MIT,known,allowed,text-work;coding-assistant;reasoning-analysis;document-vision,evidence:deepseek-ai-deepseek-v4-1-flash-card;evidence:deepseek-ai-deepseek-v4-1-flash-metadata;evidence:deepseek-ai-deepseek-v4-1-flash-parameters;evidence:deepseek-ai-deepseek-v4-1-flash-license;evidence:deepseek-ai-deepseek-v4-1-flash-config
model:google-gemma-3-12b-it,gemma-3-12b-it,Google DeepMind,family:gemma,96b6f1eccf38110c56df3a15bffe176da04bfd80,vision-language,dense,known,12.0,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست. اندازهٔ اسمی گونهٔ چندوجهی است؛ اجزای تصویر جداگانه اندازه‌گیری نشده‌اند.,not-applicable,,known,131072,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است. کارت طول ورودی و سقف خروجی را جدا گزارش می‌کند؛ سقف خروجی را به پنجره اضافه نکنید.,not-evaluated,gemma,unknown,,text-work;document-vision,evidence:google-gemma-3-12b-it-card;evidence:google-gemma-3-12b-it-metadata;evidence:google-gemma-3-12b-it-parameters;evidence:google-gemma-3-12b-it-license;evidence:google-gemma-3-12b-it-context
model:google-gemma-3-1b-it,gemma-3-1b-it,Google DeepMind,family:gemma,dcc83ea841ab6100d6b47a070329e1ba4cf78752,generative,dense,known,1.0,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,known,32768,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است. کارت طول ورودی و سقف خروجی را جدا گزارش می‌کند؛ سقف خروجی را به پنجره اضافه نکنید.,not-evaluated,gemma,unknown,,text-work,evidence:google-gemma-3-1b-it-card;evidence:google-gemma-3-1b-it-metadata;evidence:google-gemma-3-1b-it-parameters;evidence:google-gemma-3-1b-it-license;evidence:google-gemma-3-1b-it-context
model:google-gemma-3-27b-it,gemma-3-27b-it,Google DeepMind,family:gemma,005ad3404e59d6023443cb575daa05336842228a,vision-language,dense,known,27.0,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست. اندازهٔ اسمی گونهٔ چندوجهی است؛ اجزای تصویر جداگانه اندازه‌گیری نشده‌اند.,not-applicable,,known,131072,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است. کارت طول ورودی و سقف خروجی را جدا گزارش می‌کند؛ سقف خروجی را به پنجره اضافه نکنید.,not-evaluated,gemma,unknown,,text-work;document-vision,evidence:google-gemma-3-27b-it-card;evidence:google-gemma-3-27b-it-metadata;evidence:google-gemma-3-27b-it-parameters;evidence:google-gemma-3-27b-it-license;evidence:google-gemma-3-27b-it-context
model:google-gemma-3-4b-it,gemma-3-4b-it,Google DeepMind,family:gemma,093f9f388b31de276ce2de164bdc2081324b9767,vision-language,dense,known,4.0,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست. اندازهٔ اسمی گونهٔ چندوجهی است؛ اجزای تصویر جداگانه اندازه‌گیری نشده‌اند.,not-applicable,,known,131072,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است. کارت طول ورودی و سقف خروجی را جدا گزارش می‌کند؛ سقف خروجی را به پنجره اضافه نکنید.,not-evaluated,gemma,unknown,,text-work;document-vision,evidence:google-gemma-3-4b-it-card;evidence:google-gemma-3-4b-it-metadata;evidence:google-gemma-3-4b-it-parameters;evidence:google-gemma-3-4b-it-license;evidence:google-gemma-3-4b-it-context
model:google-gemma-4-26b-a4b-it,gemma-4-26B-A4B-it,Google DeepMind,family:gemma,4d7ae4984b7db7de8f8457170b3f1a419ee76d52,vision-language,moe,unknown,,شمار کل با دامنهٔ یکنواخت تأیید نشده؛ شمار جزء زبانی، فعال یا ذخیره‌شده جای آن ننشسته است.,unknown,,known,262144,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است.,not-evaluated,Apache-2.0,known,allowed,text-work;document-vision,evidence:google-gemma-4-26b-a4b-it-card;evidence:google-gemma-4-26b-a4b-it-metadata;evidence:google-gemma-4-26b-a4b-it-parameters;evidence:google-gemma-4-26b-a4b-it-license;evidence:google-gemma-4-26b-a4b-it-context;evidence:google-gemma-4-26b-a4b-it-config
model:google-gemma-4-e2b-it,gemma-4-E2B-it,Google DeepMind,family:gemma,3e22461f65e89153144f8adb70e3b8c2cc9845a7,vision-language,dense,unknown,,شمار کل با دامنهٔ یکنواخت تأیید نشده؛ شمار جزء زبانی، فعال یا ذخیره‌شده جای آن ننشسته است.,not-applicable,,known,131072,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است.,not-evaluated,Apache-2.0,known,allowed,text-work;document-vision,evidence:google-gemma-4-e2b-it-card;evidence:google-gemma-4-e2b-it-metadata;evidence:google-gemma-4-e2b-it-parameters;evidence:google-gemma-4-e2b-it-license;evidence:google-gemma-4-e2b-it-context;evidence:google-gemma-4-e2b-it-config
model:ibm-granite-granite-3-3-2b-instruct,granite-3.3-2b-instruct,IBM,family:granite,707f574c62054322f6b5b04b6d075f0a8f05e0f0,generative,dense,known,2.0,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,known,131072,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است.,not-evaluated,Apache-2.0,known,allowed,text-work;enterprise-rag;structured-extraction;coding-assistant;agents-tools;reasoning-analysis,evidence:ibm-granite-granite-3-3-2b-instruct-card;evidence:ibm-granite-granite-3-3-2b-instruct-metadata;evidence:ibm-granite-granite-3-3-2b-instruct-parameters;evidence:ibm-granite-granite-3-3-2b-instruct-license;evidence:ibm-granite-granite-3-3-2b-instruct-context;evidence:ibm-granite-granite-3-3-2b-instruct-config
model:intfloat-multilingual-e5-small,multilingual-e5-small,intfloat / multilingual E5 authors,family:e5,614241f622f53c4eeff9890bdc4f31cfecc418b3,embedding,dense,unknown,,شمار کل با دامنهٔ یکنواخت تأیید نشده؛ شمار جزء زبانی، فعال یا ذخیره‌شده جای آن ننشسته است.,not-applicable,,known,512,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است.,publisher-claimed,MIT,known,allowed,enterprise-rag,evidence:intfloat-multilingual-e5-small-card;evidence:intfloat-multilingual-e5-small-metadata;evidence:intfloat-multilingual-e5-small-parameters;evidence:intfloat-multilingual-e5-small-license;evidence:intfloat-multilingual-e5-small-context;evidence:intfloat-multilingual-e5-small-config
model:meta-llama-llama-3-1-70b-instruct,Llama-3.1-70B-Instruct,Meta,family:llama,1605565b47bb9346c5515c34102e054115b4f98b,generative,dense,known,70.0,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,known,131072,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است.,not-evaluated,llama3.1,unknown,,text-work,evidence:meta-llama-llama-3-1-70b-instruct-card;evidence:meta-llama-llama-3-1-70b-instruct-metadata;evidence:meta-llama-llama-3-1-70b-instruct-parameters;evidence:meta-llama-llama-3-1-70b-instruct-license;evidence:meta-llama-llama-3-1-70b-instruct-context
model:meta-llama-llama-3-1-8b-instruct,Llama-3.1-8B-Instruct,Meta,family:llama,0e9e39f249a16976918f6564b8830bc894c89659,generative,dense,known,8.0,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,known,131072,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است.,not-evaluated,llama3.1,unknown,,text-work,evidence:meta-llama-llama-3-1-8b-instruct-card;evidence:meta-llama-llama-3-1-8b-instruct-metadata;evidence:meta-llama-llama-3-1-8b-instruct-parameters;evidence:meta-llama-llama-3-1-8b-instruct-license;evidence:meta-llama-llama-3-1-8b-instruct-context
model:meta-llama-llama-3-2-1b-instruct,Llama-3.2-1B-Instruct,Meta,family:llama,9213176726f574b556790deb65791e0c5aa438b6,generative,dense,known,1.0,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,known,131072,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است.,not-evaluated,llama3.2,unknown,,text-work,evidence:meta-llama-llama-3-2-1b-instruct-card;evidence:meta-llama-llama-3-2-1b-instruct-metadata;evidence:meta-llama-llama-3-2-1b-instruct-parameters;evidence:meta-llama-llama-3-2-1b-instruct-license;evidence:meta-llama-llama-3-2-1b-instruct-context
model:meta-llama-llama-3-2-3b-instruct,Llama-3.2-3B-Instruct,Meta,family:llama,0cb88a4f764b7a12671c53f0838cd831a0843b95,generative,dense,known,3.0,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,known,131072,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است.,not-evaluated,llama3.2,unknown,,text-work,evidence:meta-llama-llama-3-2-3b-instruct-card;evidence:meta-llama-llama-3-2-3b-instruct-metadata;evidence:meta-llama-llama-3-2-3b-instruct-parameters;evidence:meta-llama-llama-3-2-3b-instruct-license;evidence:meta-llama-llama-3-2-3b-instruct-context
model:microsoft-phi-4-mini-instruct,Phi-4-mini-instruct,Microsoft,family:phi,cfbefacb99257ffa30c83adab238a50856ac3083,generative,dense,known,3.8,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,known,131072,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است.,not-evaluated,MIT,known,allowed,text-work;reasoning-analysis;coding-assistant,evidence:microsoft-phi-4-mini-instruct-card;evidence:microsoft-phi-4-mini-instruct-metadata;evidence:microsoft-phi-4-mini-instruct-parameters;evidence:microsoft-phi-4-mini-instruct-license;evidence:microsoft-phi-4-mini-instruct-context;evidence:microsoft-phi-4-mini-instruct-config
model:mistralai-devstral-small-2-24b-instruct-2512,Devstral-Small-2-24B-Instruct-2512,Mistral AI,family:mistral,55c5b41e98c2dbd21b0c8afffc540dcfc9eb5128,vision-language,dense,known,24.0,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,known,262144,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است.,not-evaluated,Apache-2.0,known,allowed,coding-assistant;agents-tools;document-vision,evidence:mistralai-devstral-small-2-24b-instruct-2512-card;evidence:mistralai-devstral-small-2-24b-instruct-2512-metadata;evidence:mistralai-devstral-small-2-24b-instruct-2512-parameters;evidence:mistralai-devstral-small-2-24b-instruct-2512-license;evidence:mistralai-devstral-small-2-24b-instruct-2512-context;evidence:mistralai-devstral-small-2-24b-instruct-2512-config
model:mistralai-ministral-3-3b-instruct-2512,Ministral-3-3B-Instruct-2512,Mistral AI,family:mistral,b35d4dfe56c142746f54dbd64f579faab2744308,vision-language,dense,unknown,,شمار کل با دامنهٔ یکنواخت تأیید نشده؛ شمار جزء زبانی، فعال یا ذخیره‌شده جای آن ننشسته است.,not-applicable,,known,262144,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است.,not-evaluated,Apache-2.0,known,allowed,text-work;document-vision,evidence:mistralai-ministral-3-3b-instruct-2512-card;evidence:mistralai-ministral-3-3b-instruct-2512-metadata;evidence:mistralai-ministral-3-3b-instruct-2512-parameters;evidence:mistralai-ministral-3-3b-instruct-2512-license;evidence:mistralai-ministral-3-3b-instruct-2512-context;evidence:mistralai-ministral-3-3b-instruct-2512-config
model:mistralai-mistral-7b-instruct-v0-3,Mistral-7B-Instruct-v0.3,Mistral AI,family:mistral,c170c708c41dac9275d15a8fff4eca08d52bab71,generative,dense,known,7.0,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,unknown,,برای این گونه، سقف زمینهٔ اعلام‌شده با دامنهٔ روشن در این بسته تأیید نشده؛ مقدار max_position_embeddings فقط در دادهٔ پژوهشی نگه داشته شده است.,not-evaluated,Apache-2.0,known,allowed,text-work;agents-tools,evidence:mistralai-mistral-7b-instruct-v0-3-card;evidence:mistralai-mistral-7b-instruct-v0-3-metadata;evidence:mistralai-mistral-7b-instruct-v0-3-parameters;evidence:mistralai-mistral-7b-instruct-v0-3-license;evidence:mistralai-mistral-7b-instruct-v0-3-config
model:mistralai-mistral-small-3-1-24b-instruct-2503,Mistral-Small-3.1-24B-Instruct-2503,Mistral AI,family:mistral,68faf511d618ef198fef186659617cfd2eb8e33a,vision-language,dense,known,24.0,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,known,131072,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است.,publisher-claimed,Apache-2.0,known,allowed,text-work;document-vision,evidence:mistralai-mistral-small-3-1-24b-instruct-2503-card;evidence:mistralai-mistral-small-3-1-24b-instruct-2503-metadata;evidence:mistralai-mistral-small-3-1-24b-instruct-2503-parameters;evidence:mistralai-mistral-small-3-1-24b-instruct-2503-license;evidence:mistralai-mistral-small-3-1-24b-instruct-2503-context;evidence:mistralai-mistral-small-3-1-24b-instruct-2503-config
model:nvidia-nvidia-nemotron-nano-9b-v2,NVIDIA-Nemotron-Nano-9B-v2,NVIDIA,family:nemotron,6533e8de2c68e4536bf7c411d7a3ce5734111476,generative,hybrid,known,9.0,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,unknown,,known,131072,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است.,not-evaluated,nvidia-open-model-license,unknown,,text-work;enterprise-rag;coding-assistant;agents-tools;reasoning-analysis,evidence:nvidia-nvidia-nemotron-nano-9b-v2-card;evidence:nvidia-nvidia-nemotron-nano-9b-v2-metadata;evidence:nvidia-nvidia-nemotron-nano-9b-v2-parameters;evidence:nvidia-nvidia-nemotron-nano-9b-v2-license;evidence:nvidia-nvidia-nemotron-nano-9b-v2-context;evidence:nvidia-nvidia-nemotron-nano-9b-v2-config
model:openai-gpt-oss-120b,gpt-oss-120b,OpenAI,family:gpt-oss,b5c939de8f754692c1647ca79fbf85e8c1e70f8a,generative,moe,known,117.0,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,known,5.1,unknown,,برای این گونه، سقف زمینهٔ اعلام‌شده با دامنهٔ روشن در این بسته تأیید نشده؛ مقدار max_position_embeddings فقط در دادهٔ پژوهشی نگه داشته شده است.,not-evaluated,Apache-2.0,known,allowed,text-work;reasoning-analysis;agents-tools;structured-extraction,evidence:openai-gpt-oss-120b-card;evidence:openai-gpt-oss-120b-metadata;evidence:openai-gpt-oss-120b-parameters;evidence:openai-gpt-oss-120b-license;evidence:openai-gpt-oss-120b-config
model:openai-gpt-oss-20b,gpt-oss-20b,OpenAI,family:gpt-oss,6cee5e81ee83917806bbde320786a8fb61efebee,generative,moe,known,21.0,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,known,3.6,unknown,,برای این گونه، سقف زمینهٔ اعلام‌شده با دامنهٔ روشن در این بسته تأیید نشده؛ مقدار max_position_embeddings فقط در دادهٔ پژوهشی نگه داشته شده است.,not-evaluated,Apache-2.0,known,allowed,text-work;reasoning-analysis;agents-tools;structured-extraction,evidence:openai-gpt-oss-20b-card;evidence:openai-gpt-oss-20b-metadata;evidence:openai-gpt-oss-20b-parameters;evidence:openai-gpt-oss-20b-license;evidence:openai-gpt-oss-20b-config
model:zai-org-glm-4-7-flash,GLM-4.7-Flash,Z.ai,family:glm,7dd20894a642a0aa287e9827cb1a1f7f91386b67,generative,moe,known,30.0,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,known,3.0,unknown,,برای این گونه، سقف زمینهٔ اعلام‌شده با دامنهٔ روشن در این بسته تأیید نشده؛ مقدار max_position_embeddings فقط در دادهٔ پژوهشی نگه داشته شده است.,not-evaluated,MIT,known,allowed,text-work;coding-assistant;agents-tools;reasoning-analysis,evidence:zai-org-glm-4-7-flash-card;evidence:zai-org-glm-4-7-flash-metadata;evidence:zai-org-glm-4-7-flash-parameters;evidence:zai-org-glm-4-7-flash-license;evidence:zai-org-glm-4-7-flash-config
